Salary,NBA_DraftNumber,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
16000000,19,25,76,2546,17.4,0.569,0.369,0.178,2.4,15.6,8.9,11.6,1.3,1.1,7.2,23.2,4.3,2.5,6.7,0.127,1.7,-0.7,1,1.9
1386600,24,22,52,807,7,0.511,0.592,0.217,1.9,7.5,4.8,9.4,0.7,0.5,11.5,17.5,0.1,0.7,0.8,0.046,-2.3,-2.4,-4.6,-0.5
15280000,62,31,28,339,10.2,0.589,0.212,0.294,8.7,18.7,13.6,3.6,0.7,2.4,24.4,16.2,-0.1,0.3,0.2,0.026,-4.8,-0.6,-5.4,-0.3
16500000,24,25,56,1856,14.4,0.531,0.476,0.209,1.9,11.2,6.6,12.5,1.6,0.5,9,23.8,1.5,1,2.5,0.065,1.6,-1.9,-0.2,0.8
2000000,62,27,56,807,11.2,0.477,0.335,0.183,2.5,12.7,7.7,31.4,2.6,0.8,23.7,12.7,0.4,0.9,1.3,0.079,-2.3,0.1,-2.2,0
2684160,10,20,71,1205,10.5,0.502,0.326,0.293,7.3,14.4,10.9,5.3,1.6,3.7,10.8,14.6,0.4,1.1,1.5,0.061,-2.5,0.1,-2.4,-0.1
815615,42,20,11,34,7.7,0.473,0.556,0.667,3.2,15.6,9.4,7.8,0,0,7.9,15.8,0,0,0,0.037,-3.8,-3.3,-7.1,0
14796348,12,29,78,2544,14.7,0.528,0.212,0.104,7.9,14.1,11.1,8.4,2.5,1.2,10.5,17.3,2.1,3.1,5.2,0.099,0.1,1.3,1.4,2.2
5250000,13,33,38,806,15.9,0.591,0.35,0.225,4.1,18.5,11.4,6.4,3.2,1.3,10.2,16.4,1,1.6,2.6,0.153,-0.3,2.2,1.8,0.8
1988520,16,23,77,1980,15.4,0.524,0.499,0.188,3.4,16.2,9.9,17,2,0.7,8,20.5,2.3,3.3,5.6,0.135,1,1,2,2
10500000,8,26,22,576,10.3,0.515,0.48,0.198,1.9,11.6,6.7,8.9,2.3,1.2,11.5,16.6,-0.1,0.5,0.5,0.038,-1.8,0.1,-1.7,0
1785000,21,19,59,728,7,0.532,0.692,0.063,2.8,3.9,3.3,3.2,1.6,1.2,6.3,10.3,0.5,0.5,1.1,0.07,-1.5,-1.3,-2.8,-0.1
2422560,12,23,79,2359,12.3,0.544,0.463,0.184,2.2,15.4,8.8,13.4,1.7,1.5,15.5,21.7,-0.3,1.9,1.6,0.032,-1.1,0,-1.1,0.5
3290000,62,26,48,474,14.9,0.589,0.078,0.478,14.4,19.9,17.1,3.8,2.1,4.7,18.7,15.9,0.6,0.9,1.4,0.144,-2.6,2,-0.5,0.2
14000000,26,32,78,2613,15.4,0.615,0.05,0.253,8,16.5,12.2,5.3,1.1,1.8,9.9,14.6,5.3,1.5,6.8,0.124,1,0.1,1.2,2.1
3152931,14,24,65,2142,17.7,0.541,0.085,0.24,6.1,10.6,8.3,7.2,1.5,1.5,6.7,24.9,2.7,0.8,3.5,0.077,-0.1,-1.8,-1.9,0.1
1471382,62,25,72,1651,12.3,0.546,0.148,0.096,2.4,11.5,7.1,24.7,2.6,0.6,20.8,13.8,1.2,2.4,3.6,0.105,-1.9,1.1,-0.7,0.5
2028360,18,20,50,428,10.5,0.554,0.322,0.099,6.9,13.4,10.2,2.6,0.6,0.8,7.3,14.2,0.5,0.3,0.7,0.084,-1.9,-2.7,-4.7,-0.3
22471910,12,24,73,2390,20.8,0.628,0.003,0.397,16.9,13.9,15.5,5.5,1.9,2.9,13.3,16.7,6.4,2.9,9.3,0.187,2.2,1.2,3.4,3.3
815615,46,22,51,728,9.5,0.513,0.44,0.126,4.2,17.6,10.9,4.6,2.1,1.3,10.6,14,0.1,0.7,0.8,0.05,-2.8,-1,-3.8,-0.3
34682550,7,29,51,1631,28.2,0.675,0.58,0.35,2.7,14.4,8.9,30.2,2.4,0.4,13.3,31,7.2,1.9,9.2,0.27,9.8,-1.2,8.6,4.4
3097800,8,21,65,1773,9.1,0.483,0.418,0.264,1.8,13.2,7.4,8.2,2.6,0.6,11.3,16.4,-0.6,2.3,1.8,0.048,-2.6,1.2,-1.4,0.3
1524305,38,24,77,2217,16,0.526,0.508,0.323,1.9,10.3,6.1,35.1,1.4,0.8,11.6,20.3,4.2,1.3,5.5,0.118,2.1,-1.7,0.4,1.3
12236535,23,26,8,127,6.8,0.385,0.563,0.125,4.4,12.4,8.6,16.9,1.5,0.6,12.9,13.2,-0.1,0.1,0,0.01,-3.1,-0.5,-3.6,-0.1
1312611,28,21,60,1240,14.3,0.513,0.111,0.258,8.7,18.2,13.2,9.1,1,3.7,12.5,21.1,0.4,0.9,1.3,0.051,-2.7,0,-2.7,-0.2
815615,48,23,69,1059,8.1,0.517,0.262,0.383,3.2,10.1,6.7,7,2.1,1.8,15.5,11.6,0.1,0.9,1,0.048,-2.6,1.2,-1.4,0.2
6000000,34,27,65,1283,13.7,0.526,0.332,0.244,1.9,11.9,6.8,29.3,1.9,0.5,16.4,17.5,1.1,1,2,0.076,-1,-1.2,-2.2,-0.1
7692308,4,32,68,1081,11.6,0.539,0.012,0.176,3.6,8.9,6.4,16.5,1.5,1.5,13.8,16.5,0.9,1,1.8,0.082,-2.5,-0.8,-3.3,-0.4
92160,62,24,20,291,15.2,0.534,0.221,0.347,2.5,16.5,9.4,18.1,3.5,1.9,12.7,18.3,0.2,0.3,0.6,0.091,-1.3,1.5,0.2,0.2
1524305,18,25,50,686,10.2,0.506,0.387,0.17,2,10.1,6.1,16.3,1.8,0.2,12.2,15.5,0.3,0.9,1.3,0.088,-2.3,0,-2.4,-0.1
2361360,24,26,70,1455,14.5,0.553,0.414,0.268,1.8,9.9,5.9,15.1,2.7,0.8,13.8,19.5,1.3,1.9,3.2,0.105,0,0.4,0.4,0.9
